date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20210101,0,56.0,33.0,62.0,17.0,65.0,4.0,0.7
20210101,1,62.0,40.0,74.0,15.0,65.0,5.0,0.8
20210101,2,,,,,,,
20210101,3,60.0,43.0,54.0,18.0,65.0,4.0,1.0
20210101,4,55.0,36.0,60.0,18.0,66.0,3.0,0.9
20210101,7,71.0,48.0,91.0,30.0,64.0,5.0,1.5
20210101,8,92.0,55.0,133.0,41.0,65.0,6.0,2.9
20210101,9,119.0,59.0,188.0,87.0,66.0,9.0,4.4
20210101,10,97.0,59.0,144.0,56.0,63.0,13.0,3.3
20210101,11,89.0,58.0,128.0,74.0,60.0,23.0,4.5
20210101,12,75.0,50.0,100.0,55.0,47.0,31.0,2.8
20210101,13,64.0,44.0,78.0,28.0,39.0,34.0,1.2
20210101,15,60.0,40.0,69.0,20.0,39.0,42.0,0.9
20210101,16,59.0,34.0,68.0,19.0,37.0,38.0,0.6
20210101,17,,,,,,,
20210101,18,,,,,,,
20210101,19,57.0,40.0,54.0,16.0,40.0,30.0,0.9
20210101,20,58.0,41.0,66.0,24.0,50.0,19.0,1.8
20210101,21,55.0,39.0,53.0,25.0,45.0,22.0,1.5
20210101,22,59.0,42.0,62.0,25.0,40.0,26.0,1.4
20210101,23,55.0,35.0,59.0,22.0,45.0,23.0,1.5
20210102,0,53.0,35.0,56.0,35.0,53.0,16.0,2.1
20210102,1,58.0,41.0,66.0,39.0,60.0,8.0,2.0
20210102,2,60.0,41.0,69.0,50.0,64.0,4.0,2.5
20210102,3,68.0,47.0,85.0,49.0,65.0,3.0,2.9
20210102,4,80.0,59.0,101.0,52.0,64.0,4.0,3.4
20210102,5,90.0,67.0,114.0,59.0,64.0,4.0,3.5
20210102,6,89.0,66.0,109.0,68.0,63.0,4.0,3.1
20210102,7,75.0,55.0,79.0,46.0,61.0,4.0,2.5
20210102,8,68.0,49.0,85.0,42.0,60.0,5.0,3.7
20210102,9,79.0,51.0,107.0,51.0,59.0,9.0,6.2
20210102,10,124.0,94.0,134.0,60.0,58.0,12.0,5.2
20210102,11,102.0,76.0,149.0,58.0,58.0,15.0,4.9
20210102,12,128.0,97.0,140.0,60.0,54.0,20.0,4.4
20210102,13,97.0,72.0,131.0,52.0,51.0,25.0,3.5
20210102,14,97.0,72.0,115.0,42.0,50.0,28.0,2.6
20210102,15,97.0,72.0,119.0,36.0,53.0,27.0,2.2
20210102,16,103.0,77.0,106.0,31.0,55.0,25.0,1.9
20210102,17,92.0,68.0,108.0,28.0,65.0,17.0,1.9
20210102,18,105.0,79.0,120.0,27.0,79.0,4.0,2.0
20210102,19,138.0,105.0,172.0,30.0,76.0,4.0,2.1
20210102,20,127.0,96.0,170.0,29.0,67.0,4.0,1.9
20210102,21,138.0,105.0,155.0,29.0,64.0,4.0,1.8
20210102,22,128.0,97.0,168.0,31.0,63.0,4.0,1.9
20210102,23,124.0,94.0,181.0,40.0,65.0,5.0,1.8
20210103,0,118.0,89.0,163.0,40.0,63.0,6.0,1.9
20210103,1,135.0,103.0,169.0,45.0,62.0,6.0,2.4
20210103,2,,,,,,,
20210103,3,73.0,53.0,84.0,21.0,59.0,13.0,1.4
20210103,4,52.0,36.0,36.0,11.0,29.0,43.0,0.5
20210103,5,35.0,24.0,25.0,10.0,18.0,52.0,0.4
20210103,6,26.0,18.0,14.0,10.0,19.0,50.0,0.4
20210103,7,26.0,18.0,22.0,11.0,33.0,35.0,0.4
20210103,8,39.0,27.0,37.0,45.0,47.0,20.0,0.9
20210103,9,46.0,27.0,46.0,18.0,47.0,21.0,0.7
20210103,10,49.0,26.0,49.0,14.0,38.0,32.0,0.9
20210103,11,52.0,23.0,53.0,14.0,38.0,34.0,0.9
20210103,12,42.0,20.0,42.0,16.0,39.0,36.0,0.9
20210103,13,38.0,17.0,38.0,15.0,36.0,42.0,1.0
20210103,14,33.0,19.0,33.0,13.0,27.0,50.0,0.6
20210103,15,39.0,21.0,39.0,12.0,33.0,42.0,0.6
20210103,16,45.0,22.0,45.0,13.0,36.0,41.0,0.6
20210103,17,49.0,25.0,49.0,13.0,50.0,25.0,0.7
20210103,18,51.0,29.0,51.0,14.0,60.0,15.0,0.8
20210103,19,64.0,36.0,78.0,15.0,69.0,7.0,0.9
