date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20200101,0,67.0,44.0,84.0,,,,
20200101,1,68.0,46.0,86.0,15.0,62.0,6.0,1.1
20200101,2,78.0,53.0,105.0,15.0,60.0,7.0,1.0
20200101,3,87.0,60.0,124.0,15.0,61.0,6.0,1.2
20200101,4,74.0,54.0,97.0,16.0,62.0,6.0,1.1
20200101,5,79.0,58.0,108.0,15.0,62.0,6.0,1.2
20200101,6,87.0,64.0,101.0,21.0,61.0,7.0,1.2
20200101,7,79.0,58.0,89.0,33.0,64.0,7.0,1.2
20200101,8,80.0,59.0,103.0,34.0,66.0,7.0,1.4
20200101,9,102.0,64.0,154.0,28.0,72.0,10.0,1.9
20200101,10,146.0,103.0,241.0,52.0,74.0,12.0,2.8
20200101,11,145.0,111.0,198.0,68.0,61.0,14.0,4.1
20200101,12,110.0,83.0,163.0,68.0,62.0,16.0,3.7
20200101,13,103.0,77.0,132.0,37.0,60.0,20.0,2.5
20200101,14,84.0,59.0,117.0,28.0,65.0,21.0,2.1
20200101,15,,,,,,,
20200101,16,84.0,62.0,,23.0,66.0,16.0,1.4
20200101,17,,62.0,173.0,21.0,68.0,,2.2
20200101,18,,101.0,173.0,,76.0,13.0,2.2
20200101,19,112.0,,173.0,28.0,26.0,7.0,1.5
20200101,20,130.0,,209.0,,,8.0,1.7
20200101,21,145.0,111.0,200.0,33.0,79.0,9.0,2.1
20200101,22,138.0,105.0,174.0,29.0,77.0,9.0,2.0
20200101,23,149.0,114.0,169.0,29.0,81.0,9.0,1.7
20200102,0,135.0,103.0,155.0,27.0,81.0,8.0,1.7
20200102,1,144.0,110.0,159.0,25.0,78.0,8.0,1.6
20200102,2,137.0,104.0,182.0,30.0,82.0,9.0,1.8
20200102,3,138.0,105.0,182.0,41.0,76.0,9.0,2.3
20200102,4,127.0,96.0,180.0,31.0,73.0,9.0,2.1
20200102,5,170.0,129.0,211.0,30.0,73.0,10.0,2.7
20200102,6,144.0,110.0,211.0,40.0,69.0,10.0,3.1
20200102,7,156.0,119.0,206.0,49.0,73.0,11.0,2.9
20200102,8,162.0,123.0,203.0,48.0,71.0,12.0,2.8
20200102,9,119.0,90.0,158.0,33.0,63.0,10.0,2.2
20200102,10,90.0,67.0,124.0,20.0,55.0,13.0,1.5
20200102,11,107.0,80.0,149.0,19.0,57.0,16.0,1.5
20200102,12,96.0,70.0,141.0,17.0,54.0,21.0,1.3
20200102,13,87.0,64.0,109.0,16.0,56.0,22.0,1.3
20200102,14,77.0,54.0,103.0,15.0,54.0,22.0,1.2
20200102,15,81.0,58.0,111.0,13.0,54.0,18.0,1.2
20200102,16,83.0,61.0,114.0,12.0,57.0,12.0,1.1
20200102,17,82.0,59.0,113.0,13.0,60.0,7.0,1.3
20200102,18,83.0,61.0,102.0,13.0,65.0,6.0,1.3
20200102,19,90.0,67.0,125.0,20.0,64.0,7.0,1.5
20200102,20,89.0,66.0,113.0,16.0,63.0,8.0,1.4
20200102,21,89.0,64.0,128.0,19.0,63.0,7.0,1.5
20200102,22,127.0,96.0,145.0,31.0,66.0,7.0,1.9
20200102,23,117.0,88.0,136.0,31.0,67.0,8.0,2.0
20200103,0,118.0,89.0,140.0,26.0,62.0,9.0,2.0
20200103,1,138.0,105.0,181.0,45.0,73.0,13.0,2.4
20200103,2,168.0,127.0,190.0,42.0,74.0,13.0,2.5
20200103,3,125.0,95.0,171.0,35.0,72.0,11.0,2.8
20200103,4,149.0,114.0,174.0,32.0,68.0,11.0,2.8
20200103,5,149.0,114.0,185.0,28.0,65.0,11.0,2.4
20200103,6,166.0,126.0,194.0,28.0,65.0,12.0,2.4
20200103,7,203.0,153.0,213.0,39.0,79.0,13.0,3.0
20200103,8,183.0,138.0,241.0,46.0,89.0,13.0,3.5
20200103,9,195.0,146.0,222.0,49.0,88.0,13.0,3.6
20200103,10,203.0,153.0,227.0,44.0,83.0,13.0,3.2
20200103,11,196.0,147.0,206.0,63.0,75.0,15.0,3.2
20200103,12,132.0,100.0,165.0,28.0,67.0,16.0,2.5
20200103,13,92.0,68.0,115.0,16.0,62.0,20.0,1.6
20200103,14,,75.0,,14.0,64.0,23.0,1.3
20200103,15,82.0,60.0,,14.0,77.0,17.0,1.4
20200103,16,100.0,75.0,142.0,13.0,80.0,12.0,1.4
20200103,17,113.0,85.0,144.0,14.0,83.0,7.0,1.5
20200103,18,130.0,99.0,162.0,18.0,82.0,7.0,1.8
20200103,19,119.0,90.0,170.0,18.0,84.0,8.0,1.7
20200103,20,112.0,84.0,149.0,19.0,88.0,8.0,1.7
20200103,21,123.0,93.0,135.0,21.0,81.0,8.0,1.5
20200103,22,118.0,89.0,156.0,22.0,83.0,8.0,1.8
20200103,23,133.0,101.0,153.0,21.0,81.0,8.0,1.9
20200104,0,149.0,114.0,194.0,25.0,84.0,8.0,2.1
20200104,1,150.0,115.0,190.0,27.0,81.0,9.0,2.1
20200104,2,156.0,119.0,173.0,26.0,81.0,9.0,2.2
20200104,3,162.0,123.0,196.0,28.0,82.0,9.0,2.3
20200104,4,172.0,130.0,212.0,27.0,84.0,9.0,2.3
20200104,5,182.0,137.0,207.0,28.0,85.0,10.0,2.3
20200104,6,178.0,134.0,194.0,28.0,84.0,10.0,2.4
20200104,7,169.0,128.0,205.0,29.0,82.0,10.0,2.5
20200104,8,178.0,134.0,198.0,38.0,85.0,12.0,3.0
20200104,9,172.0,130.0,220.0,49.0,81.0,12.0,3.3
20200104,10,92.0,66.0,133.0,44.0,68.0,14.0,3.7
20200104,11,89.0,58.0,127.0,40.0,63.0,18.0,2.9
20200104,12,58.0,36.0,65.0,17.0,34.0,45.0,1.2
20200104,13,70.0,36.0,90.0,39.0,46.0,39.0,2.1
20200104,14,60.0,32.0,69.0,34.0,36.0,48.0,1.9
20200104,15,56.0,32.0,62.0,13.0,30.0,56.0,1.0
20200104,16,58.0,40.0,65.0,11.0,43.0,41.0,1.0
20200104,17,68.0,41.0,86.0,11.0,53.0,26.0,1.0
20200104,18,71.0,49.0,91.0,12.0,54.0,24.0,0.9
20200104,19,75.0,55.0,84.0,14.0,56.0,18.0,0.9
20200104,20,74.0,54.0,95.0,15.0,56.0,20.0,0.9
20200104,21,70.0,51.0,70.0,16.0,51.0,24.0,0.8
20200104,22,80.0,59.0,103.0,36.0,56.0,19.0,1.0
20200104,23,88.0,65.0,117.0,36.0,64.0,10.0,3.3
20200105,0,90.0,67.0,103.0,26.0,62.0,9.0,4.3
20200105,1,78.0,57.0,94.0,28.0,66.0,6.0,1.8
20200105,2,152.0,116.0,187.0,89.0,68.0,8.0,3.4
20200105,3,105.0,79.0,149.0,99.0,65.0,8.0,4.5
20200105,4,100.0,72.0,149.0,82.0,62.0,8.0,3.7
20200105,5,110.0,83.0,151.0,87.0,64.0,8.0,4.3
20200105,6,96.0,67.0,141.0,103.0,64.0,8.0,4.9
20200105,7,130.0,99.0,177.0,136.0,66.0,9.0,6.4
20200105,8,135.0,103.0,209.0,131.0,70.0,10.0,8.2
20200105,9,169.0,128.0,229.0,118.0,71.0,12.0,8.4
20200105,10,196.0,147.0,250.0,135.0,77.0,16.0,8.4
20200105,11,158.0,120.0,207.0,119.0,68.0,16.0,6.0
20200105,12,111.0,74.0,172.0,81.0,59.0,20.0,3.9
20200105,13,87.0,64.0,92.0,40.0,46.0,30.0,2.0
20200105,14,80.0,59.0,87.0,28.0,39.0,33.0,1.2
20200105,15,75.0,55.0,99.0,34.0,48.0,28.0,1.3
20200105,16,102.0,76.0,106.0,35.0,55.0,19.0,1.5
20200105,17,88.0,65.0,113.0,25.0,59.0,14.0,1.4
20200105,18,85.0,60.0,120.0,19.0,61.0,10.0,1.2
20200105,19,86.0,62.0,121.0,21.0,62.0,8.0,1.5
20200105,20,89.0,66.0,115.0,48.0,61.0,7.0,1.9
20200105,21,87.0,64.0,105.0,58.0,58.0,7.0,1.7
20200105,22,82.0,60.0,100.0,35.0,52.0,13.0,1.3
20200105,23,67.0,48.0,56.0,14.0,18.0,52.0,0.8
20200106,0,60.0,43.0,50.0,12.0,14.0,52.0,0.6
20200106,1,53.0,37.0,53.0,12.0,31.0,31.0,0.8
20200106,2,69.0,50.0,60.0,13.0,54.0,9.0,1.4
20200106,3,83.0,61.0,67.0,14.0,53.0,9.0,1.7
20200106,4,84.0,62.0,86.0,22.0,50.0,12.0,2.1
20200106,5,87.0,64.0,105.0,23.0,58.0,6.0,2.6
20200106,6,107.0,80.0,87.0,22.0,56.0,6.0,2.7
20200106,7,100.0,75.0,111.0,27.0,57.0,6.0,3.6
20200106,8,94.0,70.0,93.0,33.0,58.0,6.0,3.3
20200106,9,127.0,96.0,101.0,37.0,57.0,8.0,4.0
20200106,10,158.0,120.0,144.0,,59.0,9.0,4.5
20200106,11,165.0,125.0,136.0,,65.0,,4.7
20200106,12,,,,31.0,63.0,,
20200106,13,188.0,141.0,160.0,36.0,,16.0,3.9
20200106,14,142.0,108.0,121.0,35.0,58.0,27.0,3.1
20200106,15,165.0,125.0,144.0,29.0,67.0,26.0,2.9
20200106,16,202.0,152.0,173.0,22.0,77.0,19.0,2.8
20200106,17,138.0,105.0,113.0,18.0,69.0,17.0,2.1
20200106,18,128.0,97.0,109.0,14.0,70.0,12.0,1.8
