date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20200101,0,66.0,32.0,81.0,15.0,62.0,8.0,0.9
20200101,1,73.0,37.0,95.0,16.0,62.0,8.0,0.9
20200101,2,72.0,47.0,94.0,16.0,60.0,8.0,0.9
20200101,3,75.0,47.0,100.0,16.0,60.0,8.0,1.0
20200101,4,74.0,49.0,97.0,19.0,61.0,8.0,1.0
20200101,5,65.0,45.0,79.0,20.0,60.0,9.0,1.1
20200101,6,68.0,46.0,86.0,39.0,61.0,9.0,1.1
20200101,7,74.0,54.0,83.0,46.0,61.0,9.0,1.3
20200101,8,77.0,56.0,96.0,39.0,64.0,10.0,1.3
20200101,9,78.0,57.0,100.0,31.0,66.0,11.0,1.4
20200101,10,82.0,59.0,113.0,97.0,67.0,13.0,3.5
20200101,11,137.0,101.0,223.0,142.0,65.0,15.0,6.0
20200101,12,145.0,91.0,240.0,97.0,69.0,17.0,4.6
20200101,13,119.0,90.0,179.0,53.0,64.0,19.0,2.8
20200101,14,97.0,70.0,143.0,37.0,67.0,20.0,2.1
20200101,15,93.0,69.0,132.0,24.0,63.0,24.0,1.4
20200101,16,78.0,56.0,106.0,26.0,67.0,17.0,1.5
20200101,17,84.0,54.0,117.0,23.0,72.0,14.0,1.2
20200101,18,79.0,47.0,108.0,46.0,90.0,10.0,2.5
20200101,19,106.0,73.0,161.0,29.0,80.0,11.0,1.4
20200101,20,99.0,74.0,114.0,37.0,86.0,9.0,1.7
20200101,21,112.0,84.0,134.0,34.0,85.0,10.0,1.8
20200101,22,115.0,87.0,172.0,29.0,90.0,10.0,1.6
20200101,23,115.0,87.0,146.0,30.0,92.0,10.0,1.8
20200102,0,120.0,91.0,156.0,26.0,92.0,10.0,1.6
20200102,1,118.0,89.0,158.0,28.0,92.0,9.0,1.7
20200102,2,134.0,102.0,158.0,46.0,90.0,11.0,2.8
20200102,3,163.0,124.0,200.0,51.0,86.0,10.0,2.9
20200102,4,138.0,105.0,174.0,47.0,80.0,10.0,2.9
20200102,5,129.0,98.0,169.0,44.0,75.0,10.0,3.0
20200102,6,132.0,100.0,167.0,54.0,73.0,10.0,2.9
20200102,7,126.0,92.0,202.0,52.0,75.0,11.0,2.8
20200102,8,153.0,117.0,185.0,45.0,76.0,12.0,2.6
20200102,9,128.0,97.0,182.0,39.0,71.0,12.0,2.4
20200102,10,119.0,90.0,166.0,26.0,62.0,15.0,1.5
20200102,11,100.0,75.0,129.0,22.0,59.0,19.0,1.4
20200102,12,103.0,77.0,137.0,19.0,58.0,24.0,1.4
20200102,13,97.0,72.0,133.0,17.0,53.0,28.0,1.2
20200102,14,88.0,65.0,106.0,16.0,52.0,28.0,1.1
20200102,15,82.0,60.0,102.0,15.0,54.0,24.0,1.0
20200102,16,76.0,53.0,102.0,14.0,61.0,15.0,1.0
20200102,17,72.0,52.0,82.0,16.0,67.0,9.0,1.1
20200102,18,86.0,56.0,122.0,16.0,68.0,8.0,1.3
20200102,19,98.0,73.0,111.0,18.0,68.0,9.0,1.4
20200102,20,98.0,73.0,126.0,18.0,68.0,8.0,1.3
20200102,21,93.0,69.0,87.0,24.0,68.0,8.0,1.5
20200102,22,104.0,78.0,112.0,31.0,74.0,9.0,2.0
20200102,23,118.0,89.0,141.0,40.0,78.0,9.0,2.2
20200103,0,114.0,86.0,140.0,34.0,72.0,9.0,2.3
20200103,1,107.0,80.0,120.0,29.0,66.0,9.0,2.2
20200103,2,103.0,77.0,117.0,41.0,75.0,11.0,2.2
20200103,3,143.0,109.0,180.0,32.0,67.0,10.0,2.8
20200103,4,130.0,99.0,149.0,33.0,67.0,10.0,3.0
20200103,5,142.0,108.0,162.0,29.0,69.0,10.0,2.6
20200103,6,138.0,105.0,166.0,36.0,76.0,11.0,2.6
20200103,7,165.0,125.0,175.0,41.0,80.0,12.0,2.9
20200103,8,178.0,134.0,198.0,50.0,91.0,12.0,3.5
20200103,9,178.0,134.0,231.0,52.0,94.0,12.0,3.8
20200103,10,190.0,143.0,252.0,49.0,92.0,13.0,3.5
20200103,11,189.0,142.0,217.0,66.0,88.0,15.0,3.4
20200103,12,201.0,151.0,238.0,39.0,76.0,17.0,2.6
20200103,13,,,,,64.0,26.0,1.6
20200103,14,129.0,98.0,150.0,15.0,,28.0,1.3
20200103,15,87.0,61.0,123.0,16.0,74.0,23.0,
20200103,16,84.0,62.0,114.0,17.0,83.0,,1.3
20200103,17,98.0,73.0,114.0,19.0,92.0,8.0,1.3
20200103,18,88.0,65.0,126.0,23.0,96.0,8.0,1.6
20200103,19,100.0,66.0,149.0,28.0,96.0,12.0,1.9
20200103,20,129.0,98.0,181.0,26.0,98.0,10.0,1.9
20200103,21,133.0,101.0,160.0,31.0,97.0,9.0,1.8
20200103,22,125.0,95.0,150.0,33.0,93.0,9.0,1.7
20200103,23,119.0,90.0,150.0,30.0,93.0,9.0,2.0
20200104,0,135.0,103.0,162.0,29.0,96.0,8.0,2.1
20200104,1,125.0,95.0,162.0,33.0,96.0,9.0,2.3
20200104,2,147.0,112.0,192.0,32.0,95.0,9.0,2.3
20200104,3,155.0,118.0,183.0,29.0,93.0,9.0,2.4
20200104,4,159.0,121.0,186.0,32.0,98.0,9.0,2.5
20200104,5,159.0,121.0,201.0,30.0,98.0,9.0,2.5
20200104,6,183.0,138.0,218.0,29.0,95.0,10.0,2.6
20200104,7,162.0,123.0,199.0,29.0,94.0,10.0,2.7
20200104,8,176.0,133.0,187.0,37.0,93.0,11.0,2.9
20200104,9,160.0,122.0,182.0,47.0,89.0,11.0,3.3
20200104,10,149.0,114.0,186.0,49.0,79.0,13.0,3.3
20200104,11,95.0,71.0,120.0,29.0,73.0,15.0,2.2
20200104,12,86.0,63.0,122.0,23.0,47.0,37.0,1.5
20200104,13,64.0,46.0,50.0,42.0,52.0,38.0,1.9
20200104,14,74.0,42.0,98.0,45.0,48.0,44.0,2.0
20200104,15,62.0,35.0,73.0,17.0,34.0,54.0,0.9
20200104,16,56.0,31.0,61.0,15.0,49.0,43.0,0.9
20200104,17,62.0,34.0,74.0,15.0,66.0,26.0,0.9
20200104,18,70.0,39.0,89.0,16.0,62.0,25.0,0.8
20200104,19,66.0,40.0,82.0,18.0,66.0,19.0,0.8
20200104,20,70.0,43.0,90.0,22.0,54.0,30.0,0.7
20200104,21,58.0,41.0,63.0,25.0,44.0,39.0,0.6
20200104,22,60.0,43.0,64.0,42.0,66.0,18.0,1.8
20200104,23,60.0,41.0,70.0,55.0,79.0,7.0,3.8
