pred,true
63.90433467570399,51.0
58.2871567309371,38.0
53.84934532052108,32.0
24.116053125509247,11.0
66.91822203340791,49.0
40.907039487756855,32.0
101.88891662473164,91.0
37.70673153281854,17.0
19.888970928746637,12.0
17.780541583734966,7.0
40.70541175152047,34.0
56.889368200795836,50.0
104.56768612267075,87.0
96.96913501112978,94.0
32.023415155586505,4.0
67.94724271953787,42.0
52.06559199040504,26.0
25.550803029753936,8.0
34.67088755634754,10.0
21.11403718425963,18.0
70.42430187658664,42.0
23.169002469005743,15.0
56.49429044521343,55.0
62.44595809739447,35.0
87.21059293379449,77.0
44.35125038770897,16.0
133.77216097107055,107.0
83.92035772310362,58.0
63.28264127290601,39.0
72.69482435504351,55.0
46.02214017871987,42.0
48.72575747000138,28.0
38.482550050808975,29.0
56.83520978868951,28.0
52.64224093087286,41.0
29.375869546632288,24.0
40.29038484412982,16.0
30.35033839536746,20.0
34.67132542462784,30.0
39.96735400813121,19.0
40.816146517389015,29.0
16.19266015620284,6.0
38.83714936371006,27.0
72.67069621021207,60.0
53.30167397716369,25.0
28.442402872221518,26.0
53.20122847598692,26.0
98.90479024490247,70.0
56.10601257689174,40.0
53.10116576172057,24.0
40.70243217152522,14.0
19.064462799960417,15.0
52.17728804587281,31.0
22.315392319315812,17.0
92.16889267984931,76.0
107.91317893117011,92.0
13.714782416648072,8.0
67.93844462217888,54.0
68.63476664174745,53.0
58.58724083886055,49.0
23.26876357660992,22.0
44.73517296876466,15.0
44.64749099201495,33.0
63.27023832176032,34.0
10.0235919679806,6.0
39.46989115062754,23.0
70.98034898248723,42.0
48.17402911458774,31.0
22.99589737861546,11.0
28.495752335402955,26.0
18.87539269567657,5.0
66.02854091928867,65.0
71.3970773516712,42.0
82.88852971064186,76.0
60.18258718232222,48.0
69.1664386404726,56.0
9.376029549011925,6.0
67.73598736100692,39.0
40.63856635954929,18.0
68.03374726567993,44.0
32.54277173217761,6.0
64.0001232018759,54.0
77.2906437707925,60.0
69.51759712059848,40.0
21.312509502457534,5.0
26.666560755835583,10.0
21.049637573749234,8.0
31.47361889469963,8.0
40.90729437044933,36.0
16.681451699204565,5.0
35.52739263759374,25.0
25.482823829888154,20.0
60.90206532838465,44.0
40.384264750200536,35.0
101.528135911113,80.0
97.0096549319618,70.0
114.36590675732619,97.0
75.53325614302236,46.0
13.985507028890748,10.0
33.56016379683987,14.0
49.63309027585436,35.0
49.48530789422411,26.0
126.14701564974384,109.0
44.184812524936675,30.0
58.940884983823636,49.0
119.49404912139589,96.0
92.01420589110369,68.0
37.85688420276976,20.0
138.59538670476496,110.0
82.33471882939415,57.0
22.189662154821487,12.0
95.38081620753717,72.0
53.44952130454077,50.0
84.4075242378168,65.0
105.12607723320738,79.0
53.53560323275812,40.0
135.2367510150377,126.0
41.558871732378066,22.0
28.547028160467807,20.0
69.2627227042357,43.0
57.164262818465666,31.0
59.95737104694249,37.0
95.08546461566976,70.0
45.10390317288755,31.0
102.07634312391335,86.0
49.350859992162995,22.0
37.96058203655599,13.0
34.608637955333464,24.0
48.43070191958217,39.0
151.19581227288467,124.0
37.1568293325532,32.0
62.57928511189151,39.0
49.92268660474048,43.0
105.02986263943777,84.0
51.66994536682494,49.0
67.14834503156081,44.0
95.09174888968727,83.0
48.737476389705606,20.0
34.26526927681943,16.0
44.74925327928443,15.0
52.96336987554207,34.0
37.568267343793536,16.0
49.575906297697294,26.0
31.149966055829722,21.0
117.2610072061189,103.0
56.10487296237663,48.0
69.70131621316759,54.0
49.30475690572868,48.0
64.19220447908242,53.0
71.35563945235971,44.0
38.00330378092663,16.0
57.89775586431416,30.0
78.50270612253044,53.0
55.20181269931797,27.0
27.758260719100825,11.0
71.15968999565715,59.0
21.565568155135633,18.0
57.666399137767826,51.0
37.71168448233111,17.0
37.512685091030136,13.0
65.74101060990988,40.0
210.5163027454707,182.0
