PC1,PC2,Target
3.4080618085373655,-2.306230486319564,54.0
3.330467720604575,-2.2187329906751674,51.0
3.4134368735255562,-2.2650123069527552,55.0
3.5970640421112217,-2.2180434434873555,60.0
3.5279985464635035,-2.3258422003241916,59.0
3.7567647944776104,-1.481760122847479,61.0
3.976012052839366,-1.4822019378532607,68.0
4.292975523882671,-1.3757914882910522,91.0
4.317545284348627,-1.3739239582681206,97.0
3.7089398299977754,-1.6088241105550656,83.0
3.253624266156972,-1.9244033512930965,105.0
3.2573400609993097,-2.105704139192233,87.0
2.7546566750101764,-2.5153518987116814,71.0
1.8774079891360118,-2.832281364527722,59.0
1.6809143665148878,-2.797387573016112,60.0
1.8754139801831857,-2.5644711128649353,53.0
2.4868340753607723,-2.1457844143536686,55.0
3.0523598966715526,-1.9873967271495883,62.0
3.457768389171432,-1.6491137109054204,58.0
3.6463761526295215,-1.1950692053993712,79.0
4.229064579396285,-0.7365863848153283,107.0
4.5464697559284035,-0.6748816784878849,134.0
4.628291824565135,-0.5700375316389034,120.0
4.544632628261806,0.13576493147367197,122.0
4.800784237723625,0.2345422220099633,135.0
4.634299398370497,-0.07549608872277808,118.0
4.903606611728548,-0.047005436667423794,148.0
5.176729781145946,0.026170764474025377,162.0
5.026129301479381,-0.7739815534833492,145.0
5.251504081998502,-0.6869551739999566,149.0
5.370320423035801,-0.6989073553265902,140.0
5.118752176122503,-1.0291796599674539,145.0
4.2783318179546885,-1.168738919856459,115.0
3.6512683785492928,-1.555512092474276,97.0
2.6702497845519138,-2.1430618773152688,97.0
1.5091203821252663,-2.7196113891422065,80.0
1.1064861551822895,-2.8550928479267963,58.0
0.9288641839660642,-2.782843916194402,59.0
0.9780133801297675,-2.573826204211447,53.0
1.3409264694796124,-2.234855563385525,44.0
2.0959488224857714,-1.9969839627446897,46.0
2.856052726975642,-1.7478647114753063,54.0
3.2109111487956747,-1.6889846584550912,62.0
3.203783929852115,-1.6969638369362938,78.0
3.2913909432288952,-1.496326627757419,76.0
3.2687658573213807,-1.11848931450122,60.0
3.832033346385278,-0.7024897828471355,97.0
4.53785699672356,-0.4614366498583722,122.0
4.299587732170094,-0.5936712876572658,109.0
4.048349122628849,-0.6337982514959571,97.0
