date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20240101,0,99.0,74.0,137.0,18.0,80.0,2.0,1.1
20240101,1,98.0,73.0,145.0,9.0,74.0,1.0,1.0
20240101,2,115.0,87.0,134.0,6.0,69.0,3.0,1.0
20240101,3,110.0,83.0,146.0,8.0,76.0,2.0,1.2
20240101,4,110.0,83.0,134.0,6.0,74.0,2.0,1.2
20240101,5,89.0,66.0,125.0,6.0,75.0,1.0,1.1
20240101,6,75.0,51.0,100.0,5.0,74.0,1.0,0.9
20240101,7,79.0,56.0,107.0,3.0,69.0,3.0,0.8
20240101,8,103.0,77.0,119.0,3.0,68.0,2.0,1.3
20240101,9,93.0,69.0,121.0,4.0,68.0,5.0,1.1
20240101,10,87.0,64.0,100.0,4.0,54.0,15.0,0.7
20240101,11,87.0,64.0,96.0,3.0,45.0,24.0,0.7
20240101,12,97.0,72.0,110.0,4.0,46.0,31.0,0.8
20240101,13,117.0,88.0,116.0,3.0,42.0,40.0,0.9
20240101,14,117.0,88.0,116.0,3.0,48.0,36.0,0.9
20240101,15,117.0,88.0,122.0,2.0,51.0,34.0,0.9
20240101,16,119.0,90.0,128.0,2.0,55.0,32.0,0.9
20240101,17,114.0,86.0,118.0,2.0,61.0,24.0,0.9
20240101,18,123.0,93.0,135.0,2.0,63.0,23.0,0.9
20240101,19,120.0,91.0,136.0,3.0,61.0,23.0,1.0
20240101,20,145.0,111.0,154.0,3.0,68.0,15.0,1.1
20240101,21,158.0,120.0,160.0,3.0,62.0,20.0,1.2
20240101,22,140.0,107.0,161.0,3.0,54.0,27.0,1.1
20240101,23,139.0,106.0,151.0,3.0,47.0,33.0,1.0
20240102,0,127.0,96.0,137.0,2.0,44.0,33.0,1.0
20240102,1,128.0,97.0,144.0,2.0,45.0,29.0,0.9
20240102,2,139.0,106.0,153.0,2.0,50.0,22.0,0.9
20240102,3,140.0,107.0,161.0,1.0,51.0,20.0,1.0
20240102,4,144.0,110.0,175.0,1.0,54.0,15.0,1.0
20240102,5,153.0,117.0,173.0,1.0,59.0,10.0,1.0
20240102,6,145.0,111.0,176.0,3.0,64.0,5.0,1.1
20240102,7,159.0,121.0,182.0,3.0,73.0,,1.1
20240102,8,148.0,113.0,172.0,3.0,77.0,1.0,1.2
20240102,9,134.0,102.0,140.0,3.0,75.0,6.0,1.2
20240102,10,143.0,109.0,150.0,1.0,74.0,11.0,1.2
20240102,11,135.0,103.0,148.0,1.0,68.0,16.0,1.2
20240102,12,134.0,102.0,134.0,1.0,68.0,18.0,1.1
20240102,13,135.0,103.0,137.0,2.0,67.0,20.0,1.1
20240102,14,118.0,89.0,124.0,3.0,64.0,25.0,1.0
20240102,15,142.0,108.0,141.0,2.0,67.0,22.0,1.0
20240102,16,125.0,95.0,119.0,2.0,68.0,17.0,0.9
20240102,17,109.0,82.0,116.0,2.0,73.0,6.0,0.9
20240102,18,115.0,87.0,106.0,2.0,77.0,1.0,0.9
20240102,19,125.0,95.0,125.0,2.0,77.0,,0.9
20240102,20,109.0,82.0,113.0,3.0,77.0,1.0,1.0
20240102,21,104.0,78.0,121.0,3.0,79.0,,1.1
20240102,22,112.0,84.0,133.0,3.0,82.0,,1.1
20240102,23,118.0,89.0,128.0,2.0,82.0,,1.2
20240103,0,102.0,76.0,122.0,3.0,80.0,,1.1
20240103,1,85.0,63.0,107.0,2.0,76.0,1.0,1.1
20240103,2,72.0,52.0,77.0,2.0,76.0,2.0,0.8
20240103,3,55.0,39.0,54.0,1.0,70.0,6.0,0.6
20240103,4,39.0,27.0,36.0,1.0,50.0,22.0,0.5
20240103,5,26.0,16.0,26.0,3.0,42.0,29.0,0.4
20240103,6,26.0,18.0,26.0,1.0,35.0,34.0,0.4
20240103,7,32.0,22.0,30.0,2.0,44.0,24.0,0.4
20240103,8,34.0,19.0,34.0,3.0,57.0,16.0,0.6
20240103,9,35.0,24.0,35.0,4.0,48.0,26.0,0.6
20240103,10,30.0,18.0,30.0,4.0,39.0,37.0,0.6
20240103,11,27.0,17.0,27.0,3.0,34.0,47.0,0.5
20240103,12,19.0,11.0,,4.0,25.0,59.0,0.3
20240103,13,20.0,7.0,8.0,3.0,23.0,62.0,0.3
20240103,14,20.0,11.0,11.0,3.0,21.0,64.0,0.3
20240103,15,20.0,14.0,,3.0,23.0,61.0,0.3
20240103,16,24.0,11.0,24.0,1.0,28.0,55.0,0.3
20240103,17,29.0,16.0,29.0,1.0,32.0,46.0,0.4
20240103,18,,,,,,30.0,0.4
20240103,19,,,,2.0,70.0,,0.5
20240103,20,,27.0,57.0,4.0,82.0,1.0,
20240103,21,63.0,44.0,75.0,6.0,90.0,,1.3
20240103,22,68.0,49.0,82.0,6.0,92.0,,1.5
20240103,23,72.0,52.0,88.0,8.0,94.0,,1.8
20240104,0,79.0,58.0,84.0,6.0,94.0,,1.8
20240104,1,74.0,54.0,74.0,3.0,90.0,1.0,1.2
20240104,2,97.0,72.0,101.0,4.0,90.0,1.0,1.3
20240104,3,102.0,76.0,93.0,7.0,94.0,,1.1
20240104,4,102.0,76.0,85.0,6.0,86.0,,1.1
20240104,5,104.0,78.0,94.0,7.0,84.0,,1.2
20240104,6,97.0,72.0,110.0,8.0,84.0,,1.4
20240104,7,95.0,71.0,97.0,11.0,86.0,,1.5
20240104,8,102.0,76.0,116.0,13.0,85.0,1.0,1.5
20240104,9,94.0,70.0,115.0,15.0,81.0,5.0,1.5
20240104,10,97.0,72.0,122.0,13.0,73.0,12.0,1.5
20240104,11,118.0,89.0,124.0,12.0,68.0,20.0,1.5
20240104,12,123.0,93.0,135.0,8.0,65.0,27.0,1.3
20240104,13,145.0,111.0,156.0,7.0,67.0,32.0,1.2
20240104,14,152.0,116.0,162.0,6.0,72.0,33.0,1.2
20240104,15,147.0,112.0,168.0,5.0,71.0,38.0,1.2
20240104,16,155.0,118.0,167.0,4.0,79.0,27.0,1.2
20240104,17,163.0,124.0,159.0,3.0,89.0,17.0,1.2
20240104,18,158.0,120.0,174.0,3.0,103.0,2.0,1.4
20240104,19,153.0,117.0,174.0,3.0,106.0,1.0,1.5
20240104,20,163.0,124.0,171.0,4.0,104.0,1.0,1.4
20240104,21,139.0,106.0,160.0,4.0,98.0,2.0,1.2
20240104,22,133.0,101.0,166.0,4.0,92.0,2.0,1.4
20240104,23,107.0,80.0,138.0,4.0,93.0,2.0,1.2
20240105,0,76.0,47.0,101.0,3.0,76.0,8.0,0.8
20240105,1,68.0,40.0,85.0,2.0,58.0,18.0,0.6
20240105,2,63.0,31.0,75.0,3.0,47.0,28.0,0.6
20240105,3,74.0,50.0,98.0,5.0,73.0,4.0,0.8
20240105,4,58.0,37.0,66.0,2.0,64.0,17.0,0.7
20240105,5,40.0,24.0,40.0,2.0,45.0,31.0,0.5
20240105,6,15.0,9.0,14.0,2.0,29.0,43.0,0.4
20240105,7,23.0,12.0,,1.0,45.0,30.0,0.4
20240105,8,32.0,14.0,21.0,2.0,64.0,12.0,0.5
20240105,9,29.0,13.0,21.0,2.0,58.0,20.0,0.5
20240105,10,20.0,14.0,16.0,1.0,30.0,46.0,0.3
20240105,11,25.0,8.0,25.0,5.0,32.0,47.0,0.6
20240105,12,23.0,6.0,23.0,4.0,31.0,50.0,0.7
20240105,13,26.0,14.0,26.0,4.0,36.0,44.0,0.8
20240105,14,29.0,20.0,20.0,3.0,24.0,54.0,0.5
20240105,15,,11.0,29.0,3.0,,56.0,0.5
20240105,16,,13.0,22.0,2.0,,53.0,0.5
20240105,17,24.0,15.0,24.0,3.0,45.0,34.0,0.6
20240105,18,51.0,27.0,52.0,7.0,69.0,8.0,1.1
20240105,19,55.0,21.0,59.0,10.0,82.0,1.0,1.5
