date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20220101,0,68.0,49.0,85.0,14.0,68.0,1.0,1.1
20220101,1,73.0,53.0,86.0,17.0,66.0,1.0,1.4
20220101,2,94.0,70.0,103.0,16.0,68.0,,1.5
20220101,3,134.0,102.0,139.0,20.0,71.0,1.0,2.0
20220101,4,115.0,87.0,123.0,19.0,69.0,,2.5
20220101,5,120.0,91.0,127.0,18.0,70.0,,2.1
20220101,6,104.0,78.0,128.0,30.0,70.0,,2.4
20220101,7,104.0,78.0,125.0,19.0,67.0,1.0,2.9
20220101,8,103.0,77.0,134.0,14.0,65.0,1.0,2.5
20220101,9,107.0,80.0,141.0,14.0,68.0,2.0,2.6
20220101,10,130.0,99.0,148.0,15.0,76.0,3.0,2.3
20220101,11,137.0,104.0,165.0,17.0,81.0,8.0,1.6
20220101,12,162.0,123.0,187.0,18.0,83.0,12.0,1.5
20220101,13,160.0,122.0,191.0,19.0,81.0,19.0,1.4
20220101,14,130.0,99.0,168.0,16.0,77.0,22.0,1.2
20220101,15,110.0,83.0,132.0,15.0,58.0,31.0,1.1
20220101,16,93.0,69.0,105.0,13.0,48.0,32.0,0.9
20220101,17,85.0,63.0,109.0,11.0,56.0,19.0,0.7
20220101,18,73.0,50.0,95.0,8.0,58.0,15.0,0.8
20220101,19,90.0,67.0,105.0,8.0,62.0,9.0,0.8
20220101,20,78.0,55.0,106.0,8.0,67.0,12.0,0.9
20220101,21,63.0,26.0,76.0,5.0,28.0,48.0,0.5
20220101,22,55.0,11.0,59.0,3.0,16.0,58.0,0.3
20220101,23,48.0,7.0,48.0,2.0,9.0,64.0,0.2
20220102,0,27.0,15.0,27.0,3.0,9.0,62.0,0.3
20220102,1,33.0,12.0,33.0,4.0,9.0,58.0,0.4
20220102,2,24.0,8.0,24.0,7.0,15.0,50.0,0.7
20220102,3,32.0,20.0,32.0,7.0,14.0,50.0,0.6
20220102,4,26.0,14.0,26.0,6.0,12.0,51.0,0.5
20220102,5,18.0,8.0,12.0,3.0,4.0,57.0,0.3
20220102,6,35.0,24.0,6.0,3.0,7.0,52.0,0.3
20220102,7,16.0,11.0,14.0,3.0,14.0,45.0,0.3
20220102,8,19.0,13.0,14.0,3.0,17.0,44.0,0.4
20220102,9,20.0,8.0,20.0,3.0,20.0,41.0,0.4
20220102,10,26.0,18.0,23.0,3.0,20.0,44.0,0.4
20220102,11,20.0,2.0,20.0,4.0,18.0,48.0,0.4
20220102,12,16.0,2.0,12.0,6.0,17.0,50.0,0.4
20220102,13,20.0,9.0,20.0,6.0,18.0,52.0,0.4
20220102,14,21.0,14.0,21.0,5.0,8.0,61.0,0.3
20220102,15,20.0,14.0,18.0,5.0,10.0,58.0,0.3
20220102,16,30.0,12.0,30.0,7.0,15.0,54.0,0.6
20220102,17,35.0,24.0,30.0,8.0,23.0,48.0,0.8
20220102,18,33.0,23.0,33.0,7.0,35.0,33.0,0.8
20220102,19,50.0,25.0,50.0,8.0,56.0,11.0,0.8
20220102,20,44.0,23.0,44.0,8.0,53.0,13.0,0.9
20220102,21,52.0,29.0,54.0,8.0,54.0,10.0,0.9
20220102,22,52.0,28.0,54.0,9.0,62.0,4.0,0.9
20220102,23,58.0,28.0,66.0,9.0,56.0,11.0,0.8
20220103,0,54.0,18.0,57.0,7.0,38.0,24.0,0.6
20220103,1,61.0,34.0,71.0,8.0,59.0,2.0,1.3
20220103,2,69.0,50.0,85.0,11.0,61.0,1.0,1.5
20220103,3,72.0,49.0,93.0,13.0,62.0,1.0,1.5
20220103,4,68.0,48.0,85.0,12.0,63.0,,1.4
20220103,5,71.0,48.0,91.0,11.0,61.0,1.0,1.3
20220103,6,77.0,50.0,104.0,11.0,59.0,,1.4
20220103,7,77.0,50.0,104.0,12.0,64.0,,1.4
20220103,8,79.0,46.0,108.0,10.0,62.0,1.0,1.7
20220103,9,69.0,50.0,86.0,18.0,57.0,6.0,1.3
20220103,10,75.0,55.0,95.0,17.0,53.0,15.0,1.3
20220103,11,77.0,56.0,90.0,10.0,52.0,24.0,1.0
20220103,12,67.0,48.0,71.0,8.0,50.0,28.0,0.9
20220103,13,57.0,40.0,64.0,8.0,36.0,43.0,0.7
20220103,14,59.0,42.0,50.0,7.0,32.0,47.0,0.6
20220103,15,52.0,34.0,53.0,8.0,33.0,44.0,0.6
20220103,16,60.0,30.0,70.0,8.0,39.0,39.0,0.7
20220103,17,61.0,38.0,72.0,8.0,52.0,24.0,0.7
20220103,18,66.0,46.0,82.0,6.0,68.0,8.0,0.8
20220103,19,68.0,49.0,84.0,6.0,75.0,4.0,0.9
20220103,20,66.0,37.0,82.0,7.0,69.0,8.0,0.8
20220103,21,55.0,28.0,60.0,6.0,58.0,14.0,0.6
20220103,22,64.0,46.0,77.0,13.0,63.0,8.0,0.9
20220103,23,74.0,54.0,95.0,17.0,70.0,3.0,1.2
20220104,0,64.0,42.0,77.0,18.0,54.0,11.0,1.1
20220104,1,69.0,50.0,80.0,19.0,59.0,3.0,1.4
20220104,2,70.0,51.0,83.0,18.0,55.0,8.0,1.0
20220104,3,69.0,50.0,77.0,22.0,58.0,3.0,1.4
20220104,4,70.0,48.0,90.0,37.0,65.0,1.0,2.0
20220104,5,77.0,56.0,91.0,34.0,67.0,1.0,2.1
20220104,6,67.0,44.0,84.0,40.0,64.0,1.0,2.1
20220104,7,65.0,46.0,79.0,44.0,63.0,1.0,2.3
20220104,8,68.0,45.0,85.0,38.0,62.0,3.0,2.0
20220104,9,68.0,45.0,85.0,42.0,55.0,9.0,2.0
20220104,10,75.0,51.0,99.0,25.0,50.0,14.0,1.9
20220104,11,65.0,37.0,79.0,20.0,41.0,24.0,1.9
20220104,12,67.0,41.0,84.0,17.0,35.0,34.0,1.5
20220104,13,60.0,43.0,68.0,11.0,24.0,49.0,0.7
20220104,14,45.0,23.0,45.0,10.0,22.0,48.0,0.6
20220104,15,46.0,30.0,46.0,8.0,24.0,48.0,0.5
20220104,16,55.0,34.0,59.0,8.0,23.0,50.0,0.5
20220104,17,46.0,31.0,46.0,7.0,26.0,44.0,0.5
20220104,18,47.0,19.0,47.0,6.0,32.0,34.0,0.5
20220104,19,50.0,26.0,50.0,8.0,34.0,28.0,0.5
20220104,20,54.0,38.0,55.0,8.0,38.0,22.0,0.5
20220104,21,67.0,42.0,83.0,10.0,49.0,9.0,1.0
20220104,22,69.0,48.0,88.0,14.0,52.0,5.0,1.6
20220104,23,72.0,52.0,90.0,22.0,55.0,2.0,2.4
20220105,0,73.0,53.0,80.0,25.0,54.0,2.0,1.9
20220105,1,54.0,31.0,57.0,24.0,57.0,,1.3
20220105,2,52.0,28.0,54.0,26.0,58.0,1.0,1.3
20220105,3,52.0,33.0,54.0,14.0,56.0,1.0,1.2
20220105,4,52.0,33.0,54.0,14.0,56.0,,1.3
20220105,5,60.0,43.0,62.0,14.0,52.0,2.0,1.5
20220105,6,67.0,48.0,65.0,13.0,51.0,1.0,1.7
20220105,7,74.0,54.0,78.0,13.0,52.0,,2.0
20220105,8,66.0,46.0,81.0,13.0,52.0,1.0,2.0
20220105,9,73.0,51.0,95.0,14.0,52.0,4.0,2.2
20220105,10,84.0,62.0,98.0,19.0,50.0,10.0,2.6
20220105,11,77.0,56.0,102.0,22.0,50.0,17.0,3.0
20220105,12,77.0,56.0,87.0,18.0,52.0,22.0,2.5
20220105,13,55.0,39.0,59.0,11.0,35.0,42.0,1.5
20220105,14,59.0,42.0,56.0,9.0,27.0,51.0,1.2
20220105,15,57.0,40.0,56.0,8.0,26.0,53.0,1.0
20220105,16,63.0,45.0,60.0,7.0,26.0,52.0,0.9
20220105,17,54.0,38.0,52.0,7.0,28.0,49.0,0.8
20220105,18,58.0,39.0,65.0,6.0,46.0,28.0,0.9
20220105,19,77.0,55.0,103.0,7.0,61.0,11.0,1.0
20220105,20,99.0,74.0,122.0,8.0,71.0,2.0,1.3
20220105,21,99.0,74.0,122.0,8.0,68.0,3.0,1.2
20220105,22,89.0,66.0,96.0,8.0,62.0,6.0,1.0
20220105,23,99.0,74.0,109.0,8.0,59.0,7.0,1.0
20220106,0,104.0,78.0,107.0,6.0,56.0,7.0,0.9
20220106,1,108.0,81.0,108.0,6.0,54.0,6.0,0.9
20220106,2,113.0,85.0,113.0,6.0,60.0,1.0,1.0
20220106,3,115.0,87.0,108.0,6.0,61.0,1.0,1.0
20220106,4,115.0,87.0,112.0,6.0,60.0,1.0,1.1
20220106,5,125.0,95.0,115.0,7.0,61.0,1.0,1.2
20220106,6,125.0,95.0,120.0,7.0,61.0,1.0,1.3
20220106,7,132.0,100.0,122.0,6.0,58.0,1.0,1.5
20220106,8,120.0,91.0,135.0,8.0,60.0,2.0,2.3
20220106,9,130.0,99.0,155.0,11.0,65.0,2.0,3.0
20220106,10,139.0,106.0,157.0,25.0,68.0,5.0,2.8
20220106,11,115.0,87.0,142.0,25.0,60.0,15.0,2.6
20220106,12,80.0,59.0,100.0,10.0,38.0,34.0,0.9
20220106,13,74.0,54.0,76.0,8.0,37.0,48.0,0.8
20220106,14,53.0,37.0,44.0,7.0,28.0,51.0,0.6
20220106,15,50.0,34.0,50.0,6.0,27.0,54.0,0.6
20220106,16,,24.0,46.0,,25.0,55.0,0.7
20220106,17,52.0,29.0,53.0,7.0,25.0,50.0,0.5
20220106,18,,,,6.0,30.0,44.0,0.4
20220106,19,,41.0,80.0,7.0,53.0,,0.6
20220106,20,60.0,40.0,70.0,8.0,56.0,19.0,0.6
20220106,21,54.0,38.0,58.0,8.0,50.0,23.0,0.8
20220106,22,57.0,35.0,63.0,9.0,49.0,20.0,0.8
20220106,23,60.0,43.0,70.0,8.0,60.0,9.0,0.8
20220107,0,74.0,54.0,89.0,11.0,65.0,1.0,0.8
20220107,1,72.0,52.0,88.0,14.0,65.0,1.0,1.1
20220107,2,78.0,57.0,94.0,15.0,62.0,1.0,1.1
20220107,3,74.0,54.0,78.0,16.0,60.0,1.0,1.0
20220107,4,73.0,53.0,74.0,15.0,60.0,1.0,1.0
