真实值,预测值
82.00000235438347,79.81515726447105
92.00000175833702,79.30435502529144
85.00000217556953,80.13888776302338
55.00000037252903,79.14199060201645
24.000000424683094,75.19171431660652
19.000000722706318,65.83241012692451
17.000000841915607,49.786343425512314
13.000000182539225,43.289708748459816
23.00000048428774,36.57731957733631
15.000000063329935,45.91352888941765
23.00000048428774,25.368360251188278
16.00000000372529,22.714223369956017
20.000000663101673,39.40938864648342
22.000000543892384,40.18323403596878
17.000000841915607,40.45487806200981
20.000000663101673,32.33270300924778
28.000000186264515,31.50208824872971
28.000000186264515,29.709629833698273
38.00000138580799,29.190178237855434
29.00000012665987,24.893523678183556
30.000000067055225,22.67587136477232
34.00000162422657,24.693557806313038
33.000001683831215,27.233042679727077
35.000001564621925,33.797222062945366
23.00000048428774,38.31599648296833
8.000000031664968,36.18242985010147
2.0000000526197255,34.145358219742775
3.000000105239451,30.27347739040852
3.000000105239451,26.728257462382317
12.00000024214387,20.617351412773132
5.000000210478902,14.68174521625042
18.000000782310963,11.20744301006198
18.000000782310963,11.814741149544716
33.000001683831215,11.953034792095423
43.00000108778477,12.056976106017828
35.000001564621925,10.719729363918304
35.000001564621925,11.79600865766406
34.00000162422657,11.074357476085424
45.00000096857548,11.266628347337246
45.00000096857548,12.502954855561256
31.000000007450584,14.910183757543564
38.00000138580799,18.758714735507965
40.0000012665987,16.455938890576363
38.00000138580799,13.629069849848747
37.000001445412636,15.80453747138381
37.000001445412636,19.992033630609512
29.00000012665987,23.670295998454094
12.00000024214387,32.10095340013504
16.00000000372529,35.81445960700512
2.0000000526197255,39.60933476686478
3.000000105239451,36.56467862427235
2.0000000526197255,33.35797408223152
9.000000420957804,28.981580965220928
16.00000000372529,22.824411541223526
9.000000420957804,17.498092100024223
11.000000301748514,12.468705773353577
21.00000060349703,10.871334612369537
19.000000722706318,11.252347122877836
13.000000182539225,9.030154660344124
27.00000024586916,7.32331895083189
22.000000543892384,7.326589617878199
25.00000036507845,7.292667333036661
25.00000036507845,7.1840063109993935
24.000000424683094,8.336018200963736
20.000000663101673,9.963026471436024
16.00000000372529,10.250796690583229
15.000000063329935,11.09591443091631
19.000000722706318,12.257820919156075
18.000000782310963,15.494569271802902
13.000000182539225,19.21952236443758
15.000000063329935,19.06075630337
19.000000722706318,27.51299849152565
14.00000012293458,26.453654304146767
2.0000000526197255,28.059163078665733
5.000000210478902,29.776346772909164
7.000000091269612,27.20623990893364
5.000000210478902,22.776006028056145
6.000000150874257,17.756771966814995
5.000000210478902,13.12477931752801
10.000000361353159,9.397706530988216
12.00000024214387,8.66390549018979
12.00000024214387,8.865382350981236
14.00000012293458,9.266655400395393
14.00000012293458,9.628657102584839
14.00000012293458,9.898316103965044
16.00000000372529,9.434821374714375
13.000000182539225,9.208505220711231
10.000000361353159,9.516591642051935
29.00000012665987,9.216641038656235
20.000000663101673,9.81184857338667
12.00000024214387,11.142319656908512
20.000000663101673,12.712373610585928
25.00000036507845,14.709877621382475
34.00000162422657,19.102067440748215
29.00000012665987,19.519278146326542
29.00000012665987,24.33494797348976
30.000000067055225,31.239386260509495
34.00000162422657,34.696765929460526
39.000001326203346,33.58716677129269
27.00000024586916,31.673035591840748
26.000000305473804,27.793505549430847
27.00000024586916,24.03116288781166
39.000001326203346,21.370342820882797
39.000001326203346,20.745709158480167
39.000001326203346,24.08959138393402
39.000001326203346,24.830566704273224
39.000001326203346,25.914909094572067
56.50000028312206,27.953869685530663
74.00000283122063,30.251824371516708
93.00000169873238,31.34176361560822
99.00000134110451,32.60647660493851
100.00000128149986,30.629541076719764
108.0000008046627,30.095491334795952
116.00000032782555,40.185931012034416
94.00000163912773,59.26997785270214
105.00000098347664,68.47062012553215
79.0000025331974,80.59093829989433
98.00000140070915,91.59202936291695
92.00000175833702,104.81328117847443
96.00000151991844,117.1565397977829
80.00000247359276,125.78967869281769
79.0000025331974,123.98004007339478
44.00000102818012,109.66034689545631
40.0000012665987,98.29347261786461
26.000000305473804,88.69957819581032
9.000000420957804,71.55262812972069
9.000000420957804,55.378377854824066
12.00000024214387,39.9547775387764
13.000000182539225,34.947832494974136
41.00000120699406,25.462248057127
34.00000162422657,23.58797538280487
39.000001326203346,17.949392080307007
38.00000138580799,14.80608981847763
19.000000722706318,22.06372782588005
25.00000036507845,19.209858499467373
15.000000063329935,21.044784411787987
28.000000186264515,24.306651271879673
30.000000067055225,22.997885279357433
29.00000012665987,22.296116665005684
35.000001564621925,21.35883129388094
45.00000096857548,23.504918575286865
37.000001445412636,29.08968984335661
31.000000007450584,14.96132305637002
13.000000182539225,21.017882883548737
12.00000024214387,23.352113872766495
10.000000361353159,40.587464421987534
7.000000091269612,36.75460535287857
4.000000045634806,34.43669627606869
2.0000000526197255,30.12444342672825
4.000000045634806,24.541381560266018
13.000000182539225,18.341283172369003
15.000000063329935,15.975245103240013
2.0000000526197255,14.81212030723691
20.000000663101673,12.49611635133624
22.000000543892384,11.301357749849558
12.00000024214387,10.669903539121151
2.0000000526197255,10.912818126380444
2.0000000526197255,10.61055300757289
2.0000000526197255,8.819570567458868
2.0000000526197255,6.332537569105625
4.000000045634806,4.630078161135316
2.0000000526197255,4.840139737352729
7.000000091269612,3.9354925798252225
12.00000024214387,4.842574108392
9.000000420957804,7.357339544221759
13.000000182539225,13.58496118336916
5.000000210478902,17.238765820860863
7.000000091269612,26.57874407619238
3.000000105239451,25.7934051156044
2.0000000526197255,23.851379446685314
2.0000000526197255,17.622729383409023
2.0000000526197255,11.167337611317635
2.0000000526197255,7.666799142956734
