date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20230101,0,66,39,82,24,45,9,2.1
20230101,1,66,36,81,21,46,9,2
20230101,2,63,41,75,22,46,10,2.1
20230101,3,63,44,76,19,45,10,1.9
20230101,4,64,41,78,22,43,12,1.6
20230101,5,68,46,85,24,42,9,1.6
20230101,6,68,44,85,25,43,6,1.7
20230101,7,67,41,83,23,45,3,1.9
20230101,8,72,51,94,24,48,3,2.2
20230101,9,81,53,111,28,46,7,2.3
20230101,10,72,46,94,31,39,18,2.2
20230101,11,63,36,76,27,33,28,1.9
20230101,12,61,41,72,24,31,34,1.8
20230101,13,58,34,65,22,24,43,1.6
20230101,14,59,31,68,18,22,48,1.3
20230101,15,55,31,59,14,18,48,1.1
20230101,16,58,34,66,12,19,45,1
20230101,17,59,31,68,12,30,27,1
20230101,18,67,41,84,10,50,6,1
20230101,19,70,51,90,9,47,6,0.7
20230101,20,117,88,117,9,50,4,0.8
20230101,21,113,85,121,10,52,3,0.9
20230101,22,110,83,130,10,56,2,1.1
20230101,23,100,75,127,11,57,2,1.3
20230102,0,119,90,135,11,55,3,1.4
20230102,1,125,95,138,10,54,4,1.6
20230102,2,64,44,77,9,43,16,1
20230102,3,40,17,40,8,29,31,0.6
20230102,4,20,9,20,6,17,45,0.5
20230102,5,16,5,11,5,12,51,0.4
20230102,6,19,2,19,5,10,52,0.4
20230102,7,22,2,22,8,7,55,0.5
20230102,8,22,2,22,10,11,51,0.6
20230102,9,22,5,22,9,17,48,0.8
20230102,10,30,7,30,10,14,53,0.9
20230102,11,28,7,28,7,14,53,0.7
20230102,12,23,9,23,5,8,60,0.5
20230102,13,20,7,16,5,5,63,0.5
20230102,14,22,7,22,4,7,64,0.5
20230102,15,21,5,18,4,6,66,0.3
20230102,16,21,5,17,4,7,67,0.4
20230102,17,24,7,24,3,10,61,0.3
20230102,18,40,24,40,4,33,30,0.5
20230102,19,51,31,52,4,46,18,0.6
20230102,20,57,34,64,6,55,8,0.6
20230102,21,67,48,58,8,55,9,0.8
20230102,22,62,44,72,6,52,9,0.8
20230102,23,58,36,66,5,52,7,0.7
20230103,0,58,39,65,6,53,8,0.7
20230103,1,54,36,58,6,58,5,0.8
20230103,2,54,36,58,6,60,4,0.8
20230103,3,58,41,61,6,63,4,0.8
20230103,4,62,44,62,7,62,4,0.9
20230103,5,63,44,76,8,60,4,0.9
20230103,6,65,41,79,9,59,4,1
20230103,7,63,44,75,8,58,4,1.1
20230103,8,73,53,84,8,58,5,1.3
20230103,9,70,51,87,9,58,7,1.3
20230103,10,63,44,76,10,54,12,1.2
20230103,11,,22,60,,40,26,1.1
20230103,12,,17,33,7,21,,
20230103,13,,,,6,,45,0.5
20230103,14,,,,6,,51,0.5
20230103,15,39,19,39,5,30,50,0.4
20230103,16,44,22,44,3,34,44,0.4
20230103,17,56,34,62,4,51,33,0.5
20230103,18,64,39,78,5,76,15,0.6
20230103,19,72,51,93,6,76,13,0.6
20230103,20,85,63,106,8,92,4,0.9
20230103,21,100,75,129,12,98,5,1.1
20230103,22,98,73,129,16,106,4,1.2
20230103,23,96,70,141,21,98,4,1.6
20230104,0,92,68,126,24,90,3,1.8
20230104,1,83,61,110,21,90,1,1.7
20230104,2,80,58,110,20,90,2,1.5
20230104,3,73,53,94,20,90,3,1.5
20230104,4,70,51,85,21,90,5,1.5
20230104,5,73,53,91,23,90,2,1.6
20230104,6,83,61,96,33,88,1,1.9
20230104,7,73,53,86,37,86,2,2.2
20230104,8,77,56,92,34,83,1,2.2
20230104,9,77,56,98,35,77,7,2.6
20230104,10,104,78,124,28,84,7,2.8
20230104,11,117,88,155,23,86,9,2.9
20230104,12,98,73,127,20,86,16,2.3
20230104,13,94,70,111,19,78,25,1.8
20230104,14,92,68,112,16,74,30,1.5
20230104,15,85,63,99,13,69,36,1.1
20230104,16,,58,90,11,,34,1
20230104,17,,51,80,9,,29,0.9
20230104,18,,63,112,10,,7,1.1
20230104,19,113,85,131,11,87,4,1.3
20230104,20,128,97,148,12,84,3,1.3
20230104,21,,,,,,,
20230104,22,144,110,164,14,85,4,1.4
20230104,23,147,112,156,14,86,3,1.5
20230105,0,144,110,150,13,84,2,1.4
20230105,1,132,100,144,10,83,,1.4
20230105,2,119,90,138,8,78,,1.4
20230105,3,128,97,124,8,75,,1.4
20230105,4,125,95,117,9,75,,1.2
20230105,5,128,97,128,9,74,,1.4
20230105,6,125,95,135,8,72,,1.3
20230105,7,140,107,133,8,78,1,1.2
20230105,8,128,97,135,9,79,2,1.3
20230105,9,153,117,150,8,77,3,1.5
20230105,10,149,114,151,12,78,7,1.3
20230105,11,175,132,169,14,73,14,1.3
