date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20220101,0,70,44,90,15,62,4,1.2
20220101,1,77,56,97,14,60,3,1.5
20220101,2,80,56,110,14,59,1,1.7
20220101,3,92,68,107,14,57,1,1.6
20220101,4,104,78,113,14,56,1,1.7
20220101,5,100,75,125,13,54,1,1.9
20220101,6,100,75,119,12,54,2,2.1
20220101,7,110,83,122,12,54,2,2.1
20220101,8,113,85,135,12,58,2,2.1
20220101,9,122,92,148,14,66,4,1.8
20220101,10,134,102,151,14,65,6,1.9
20220101,11,147,112,176,16,71,9,1.5
20220101,12,175,132,193,18,71,13,1.5
20220101,13,175,132,193,19,70,18,1.4
20220101,14,134,102,159,16,67,24,1.2
20220101,15,94,70,136,14,50,33,1.1
20220101,16,84,53,117,14,38,36,0.8
20220101,17,81,46,111,11,46,24,0.7
20220101,18,77,46,103,8,50,14,0.7
20220101,19,83,46,115,8,55,8,0.8
20220101,20,92,68,128,9,62,4,1
20220101,21,75,24,99,7,44,30,0.7
20220101,22,63,7,75,4,9,61,0.3
20220101,23,46,5,46,3,2,66,0.2
20220102,0,28,7,28,3,2,66,0.2
20220102,1,29,5,29,4,2,66,0.3
20220102,2,30,5,30,6,2,60,0.5
20220102,3,25,5,25,6,2,61,0.6
20220102,4,23,5,23,6,1,61,0.6
20220102,5,24,5,24,4,1,61,0.5
20220102,6,20,2,20,4,2,60,0.5
20220102,7,30,5,30,5,8,50,0.7
20220102,8,88,17,125,6,51,4,0.7
20220102,9,90,31,130,7,47,6,0.9
20220102,10,50,12,50,4,24,37,0.5
20220102,11,30,9,30,5,10,54,0.4
20220102,12,21,7,21,6,14,47,0.4
20220102,13,22,9,22,6,9,58,0.4
20220102,14,24,9,24,5,3,63,0.4
20220102,15,29,7,29,6,4,62,0.4
20220102,16,34,9,34,8,12,56,0.8
20220102,17,38,14,38,8,15,51,0.8
20220102,18,49,12,49,7,30,34,0.7
20220102,19,54,17,57,8,44,17,0.8
20220102,20,59,24,67,9,45,13,0.9
20220102,21,65,29,79,8,50,7,0.9
20220102,22,69,27,88,9,57,2,0.9
20220102,23,60,22,69,10,41,18,0.8
20220103,0,55,27,60,8,33,23,0.7
20220103,1,57,31,64,8,48,7,0.9
20220103,2,57,27,64,8,46,8,0.7
20220103,3,60,34,69,8,52,2,0.9
20220103,4,56,34,62,8,52,1,1.1
20220103,5,64,44,77,8,50,1,1.4
20220103,6,77,56,90,9,52,2,1.6
20220103,7,71,46,91,8,50,2,1.6
20220103,8,93,61,135,9,55,3,1.8
20220103,9,92,61,133,10,53,3,1.6
20220103,10,85,61,119,13,54,8,1.5
20220103,11,,,123,12,57,13,1.3
20220103,12,75,48,99,10,43,25,1
20220103,13,66,36,82,9,32,38,0.8
20220103,14,56,29,61,8,28,45,0.6
