date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20240101,0,152.0,116.0,173.0,16.0,56.0,1.0,1.4
20240101,1,129.0,98.0,157.0,14.0,43.0,7.0,1.0
20240101,2,78.0,57.0,101.0,10.0,28.0,17.0,0.7
20240101,3,82.0,60.0,98.0,7.0,38.0,6.0,0.9
20240101,4,78.0,57.0,101.0,4.0,48.0,,1.1
20240101,5,138.0,105.0,152.0,4.0,47.0,,1.1
20240101,6,150.0,115.0,160.0,3.0,46.0,,1.2
20240101,7,143.0,109.0,146.0,4.0,50.0,1.0,1.4
20240101,8,135.0,103.0,147.0,5.0,63.0,1.0,1.7
20240101,9,120.0,91.0,137.0,5.0,61.0,1.0,1.7
20240101,10,107.0,80.0,124.0,5.0,57.0,3.0,1.4
20240101,11,93.0,69.0,120.0,4.0,41.0,10.0,1.0
20240101,12,105.0,79.0,118.0,5.0,28.0,25.0,0.9
20240101,13,127.0,96.0,130.0,4.0,25.0,32.0,1.0
20240101,14,132.0,100.0,139.0,4.0,29.0,31.0,1.1
20240101,15,130.0,99.0,140.0,3.0,28.0,36.0,1.0
20240101,16,117.0,88.0,120.0,2.0,26.0,38.0,0.9
20240101,17,100.0,75.0,117.0,2.0,28.0,33.0,0.9
20240101,18,114.0,86.0,128.0,2.0,43.0,16.0,1.0
20240101,19,120.0,91.0,135.0,2.0,47.0,16.0,1.0
20240101,20,144.0,110.0,154.0,3.0,40.0,22.0,1.1
20240101,21,158.0,120.0,160.0,3.0,42.0,21.0,1.1
20240101,22,166.0,126.0,158.0,3.0,28.0,33.0,1.1
20240101,23,144.0,110.0,151.0,3.0,25.0,33.0,1.1
20240102,0,144.0,110.0,155.0,2.0,24.0,34.0,1.0
20240102,1,145.0,111.0,149.0,2.0,23.0,31.0,0.9
20240102,2,148.0,113.0,160.0,2.0,27.0,26.0,0.9
20240102,3,169.0,128.0,172.0,2.0,24.0,26.0,1.0
20240102,4,176.0,133.0,183.0,2.0,28.0,20.0,1.0
20240102,5,185.0,139.0,179.0,1.0,28.0,18.0,1.1
20240102,6,195.0,146.0,181.0,3.0,38.0,8.0,1.1
20240102,7,195.0,146.0,174.0,1.0,52.0,1.0,1.2
20240102,8,168.0,127.0,174.0,3.0,54.0,2.0,1.2
20240102,9,155.0,118.0,153.0,1.0,56.0,6.0,1.2
20240102,10,135.0,103.0,134.0,2.0,51.0,12.0,1.1
20240102,11,140.0,107.0,137.0,2.0,45.0,17.0,1.1
20240102,12,132.0,100.0,134.0,2.0,44.0,17.0,1.1
20240102,13,143.0,109.0,137.0,3.0,46.0,17.0,1.1
20240102,14,130.0,99.0,129.0,3.0,43.0,21.0,1.0
20240102,15,133.0,101.0,133.0,2.0,44.0,19.0,1.0
20240102,16,134.0,102.0,127.0,2.0,50.0,10.0,1.0
20240102,17,117.0,88.0,117.0,2.0,54.0,4.0,1.0
20240102,18,105.0,79.0,108.0,2.0,56.0,1.0,1.0
20240102,19,130.0,99.0,134.0,2.0,58.0,1.0,1.1
20240102,20,115.0,87.0,124.0,3.0,56.0,1.0,1.1
20240102,21,132.0,100.0,137.0,4.0,59.0,1.0,1.2
20240102,22,140.0,107.0,142.0,4.0,61.0,1.0,1.2
20240102,23,135.0,103.0,142.0,3.0,61.0,,1.2
20240103,0,112.0,84.0,124.0,3.0,57.0,1.0,1.1
20240103,1,88.0,65.0,95.0,3.0,52.0,2.0,0.9
20240103,2,56.0,27.0,62.0,2.0,42.0,13.0,0.6
20240103,3,43.0,25.0,43.0,1.0,33.0,22.0,0.5
20240103,4,40.0,14.0,40.0,1.0,24.0,29.0,0.4
20240103,5,26.0,17.0,26.0,3.0,18.0,33.0,0.4
20240103,6,29.0,9.0,29.0,1.0,12.0,37.0,0.3
20240103,7,30.0,10.0,30.0,2.0,29.0,19.0,0.4
20240103,8,25.0,11.0,25.0,3.0,36.0,18.0,0.5
20240103,9,32.0,22.0,25.0,3.0,38.0,18.0,0.6
20240103,10,24.0,15.0,24.0,4.0,28.0,32.0,0.6
20240103,11,23.0,10.0,23.0,4.0,17.0,46.0,0.6
20240103,12,19.0,2.0,15.0,3.0,6.0,58.0,0.3
20240103,13,22.0,2.0,22.0,3.0,3.0,61.0,0.3
20240103,14,20.0,2.0,13.0,3.0,2.0,64.0,0.3
20240103,15,19.0,4.0,7.0,1.0,8.0,58.0,0.3
20240103,16,23.0,5.0,23.0,1.0,8.0,56.0,0.4
20240103,17,27.0,7.0,27.0,3.0,11.0,48.0,0.3
20240103,18,27.0,5.0,27.0,1.0,26.0,28.0,0.4
20240103,19,45.0,22.0,45.0,3.0,46.0,4.0,0.5
20240103,20,51.0,18.0,51.0,6.0,55.0,,0.6
20240103,21,64.0,36.0,77.0,5.0,61.0,,0.8
20240103,22,66.0,46.0,81.0,4.0,65.0,,0.9
20240103,23,70.0,51.0,76.0,4.0,68.0,,1.0
20240104,0,87.0,64.0,99.0,4.0,70.0,,1.2
20240104,1,97.0,72.0,95.0,4.0,74.0,,1.2
20240104,2,89.0,66.0,89.0,4.0,67.0,1.0,1.3
20240104,3,94.0,70.0,98.0,4.0,64.0,1.0,1.2
20240104,4,99.0,74.0,96.0,6.0,61.0,1.0,1.2
20240104,5,113.0,85.0,101.0,8.0,60.0,1.0,1.3
20240104,6,105.0,79.0,107.0,8.0,60.0,,1.5
20240104,7,113.0,85.0,116.0,10.0,62.0,,1.7
20240104,8,102.0,76.0,117.0,13.0,58.0,1.0,1.6
20240104,9,104.0,78.0,108.0,16.0,53.0,6.0,1.4
20240104,10,113.0,85.0,116.0,14.0,54.0,9.0,1.4
20240104,11,127.0,96.0,134.0,12.0,47.0,17.0,1.6
20240104,12,149.0,114.0,140.0,9.0,40.0,28.0,1.4
20240104,13,155.0,118.0,140.0,7.0,42.0,34.0,1.3
20240104,14,163.0,124.0,154.0,6.0,38.0,44.0,1.3
20240104,15,176.0,133.0,169.0,6.0,44.0,37.0,1.4
20240104,16,178.0,134.0,163.0,5.0,56.0,24.0,1.2
20240104,17,170.0,129.0,160.0,4.0,70.0,9.0,1.3
20240104,18,183.0,138.0,167.0,4.0,79.0,1.0,1.4
20240104,19,186.0,140.0,169.0,4.0,82.0,1.0,1.6
20240104,20,156.0,119.0,154.0,4.0,76.0,2.0,1.3
20240104,21,132.0,100.0,150.0,5.0,69.0,2.0,1.1
20240104,22,110.0,83.0,128.0,4.0,62.0,2.0,1.0
20240104,23,324.0,274.0,,4.0,63.0,2.0,1.0
20240105,0,112.0,84.0,104.0,3.0,54.0,10.0,0.9
20240105,1,68.0,28.0,85.0,2.0,31.0,26.0,0.6
20240105,2,63.0,24.0,76.0,2.0,21.0,37.0,0.5
20240105,3,75.0,45.0,100.0,5.0,45.0,9.0,0.8
20240105,4,62.0,37.0,74.0,4.0,39.0,21.0,0.8
20240105,5,40.0,25.0,40.0,5.0,19.0,40.0,0.5
20240105,6,27.0,3.0,27.0,4.0,16.0,42.0,0.4
20240105,7,23.0,2.0,23.0,3.0,31.0,28.0,0.4
20240105,8,29.0,6.0,29.0,8.0,37.0,21.0,0.5
20240105,9,20.0,14.0,14.0,5.0,30.0,32.0,0.4
